strain,species
LJP308,A. piscicola
A.piscicola_LMG_24783,A. piscicola
SU58-3,A. bestiarum
SU6,A. bestiarum
SL22,A. bestiarum
A.bestiarum_GA97_22,A. bestiarum
OY59,A. salmonicida
SU2,A. salmonicida
OY56,A. salmonicida
SL21,A. salmonicida
LJP441,A. salmonicida
SC45,A. salmonicida
SL19,A. salmonicida
A.salmonicida_O23A,A. salmonicida
SU4,A. caviae
A.caviae_1605_27183,A. caviae
A537,A. hydrophila
A.hydrophila_AH10,A. hydrophila
A.dhakensis_Aer_OnlF1,A. dhakensis
A536,A. dhakensis
A533,A. dhakensis
OY52,A. media
A.media_R1_18,A. media
SC42,A. rivipollensis
OY1,A. rivipollensis
A539,A. rivipollensis
SU9,A. rivipollensis
